algoritmo,n,tempo_medio_s,desvio_padrao_s,repeticoes
Smith-Waterman (local),50,0.0005251249895081855,4.3960435723369785e-06,8
Needleman-Wunsch (global),50,0.00048807499842951074,8.278679027320706e-06,8
Smith-Waterman (local),100,0.0020896999922115356,8.740688671634096e-06,8
Needleman-Wunsch (global),100,0.001929737496539019,2.0045535335621066e-05,8
Smith-Waterman (local),200,0.008458112497464754,9.881852027307838e-05,8
Needleman-Wunsch (global),200,0.007629224994161632,8.153768035468638e-05,8
Smith-Waterman (local),400,0.035853312503604684,0.0006417379181718181,8
Needleman-Wunsch (global),400,0.03303114998561796,0.00019961069307013925,8
Smith-Waterman (local),800,0.1666047874969081,0.02331772338575967,8
Needleman-Wunsch (global),800,0.1630134875085787,0.04388394349560474,8
Smith-Waterman (local),1200,0.7115563874976942,0.02608571879080414,8
Needleman-Wunsch (global),1200,0.6553948750006384,0.022698199653488214,8
Smith-Waterman (local),1600,1.3117715749976924,0.08771146471049851,8
Needleman-Wunsch (global),1600,1.2226409999930183,0.06711223136282131,8
Smith-Waterman (local),2000,2.0756209249884705,0.16799226955633464,8
Needleman-Wunsch (global),2000,1.9854020999991917,0.20099360709965888,8
